district,region
حي النظيم,East
حي الفيحاء,East
حي الرمال,East
حي العقيق,North
حي التعاون,North
حي الياسمين,North
حي المونسية,East
حي النرجس,North
حي اشبيلية,East
حي الندى,North
حي البديعة,West
حي الحمراء,East
حي القيروان,North
حي الفاخرية,Center
حي الوزارات,Center
حي الخليج,East
حي الازدهار,East
حي العارض,North
حي الملقا,North
حي عكاظ,South
حي عرقة,West
حي ظهرة لبن,West
حي حطين,North
حي الشهداء,East
حي القادسية,East
حي قرطبة,East
حي المروج,Center
حي الربيع,North
حي اليرموك,East
حي طويق,West
حي النهضة,East
حي الصحافة,North
حي الريان,East
حي الاندلس,East
حي السليمانية,North
حي النفل,North
حي الخزامى,North
حي الوادي,North
حي عتيقة,South
حي السويدي,West
حي ظهرة نمار,West
حي الشرق,East
حي الديرة,South
حي اليمامة,South
حي الملك فيصل,East
حي المهدية,West
حي الدار البيضاء,South
حي غرناطة,East
حي الروضة,East
حي العليا,Center
حي القدس,East
حي النزهة,Center
حي السلام,East
حي الورود,North
حي لبن,West
حي الفلاح,North
حي أحد,South
حي الغدير,North
حي المغرزات,North
حي الخالدية,Center
حي الملز,Center
حي السعادة,East
حي المعيزلة,East
حي الضباط,Center
حي شبرا,West
حي المربع,Center
حي نمار,West
حي الزهرة,West
حي بدر,South
حي الملك عبدالله,North
حي العريجاء الغربية,West
حي المصيف,North
حي النسيم الشرقي,East
حي الروابي,East
حي النخيل,North
حي الحزم,West
حي غبيرة,South
حي الربوة,Center
حي المحمدية,North
حي النسيم الغربي,East
حي ام الحمام الغربي,West
حي الملك فهد,North
حي صلاح الدين,North
حي العزيزية,South
حي ام الحمام الشرقي,West
حي عليشة,West
حي الجنادرية,East
حي سلطانة,South
حي العريجاء الوسطى,West
حي الرحمانية,Center
حي الجزيرة,Center
حي المرسلات,Center
حي السويدي الغربي,West
حي النموذجية,South
حي ظهرة البديعة,West
حي مطار الملك خالد الدولي,North
حي الشفا,South
حي الرائد,Center
حي ام سليم,South
حي ديراب,West
حي الشميسي,South
حي الوشام,South
حي سكيرينة,South
حي المنار,East
حي المؤتمرات,Center
حي الواحة,Center
حي العود,South
حي المنصورة,South
حي الرفيعة,Center
حي الدريهمية,South
حي بنبان,North
حي الزهراء,Center
حي الشرفية,Center
حي المروة,South
حي الحائر,South
حي منفوحة,South
حي الصناعية,South
حي جامعة الأميرة نورة,North
حي السلي,East
حي العمل,South
حي الجرادية,South
حي ثليم,South
حي ضاحية نمار,West
حي جرير,South
حي الملك عبدالعزيز,Center